,index,id,title,comment,uid,timestamp,tourokubi,furigana,editingday,registration,system_title,system_group,netabare,number_of_user,before,before_trial
11,11,16,妹ゲー,そのうち誰か作るだろうと思ってたんですが、一向にその気配がないので^_^; 「お兄ちゃん」及びそれに類する言葉で呼んでくれるキャラと実際にＨできる ゲーム限定。お気に入りのゲームを登録して下さい。,REAK,2003-12-25 21:57:52.880553+09,2002-04-05 00:21:47+09,イモウトゲー,1900-01-01 00:00:00+09,t,妹,女の子キャラクター,f,5003,t,f
12,12,17,修正ファイルがあるゲーム,この情報は必要でしょ。バージョンを確認してください。ご協力お願いします。 Ａ：修正ファイル必須（動作不安定、クリア不可等プレイに支障がある重大なもの） Ｂ：修正ファイル必須と推奨の中間（システム改善等） Ｃ：修正ファイル推奨（誤字脱字等プレイに支障がない些細なもの） ※複数当てはまる場合、上位優先,hare,2003-12-17 01:23:38.290266+09,2002-04-05 19:41:01+09,シュウセイファイルガアルゲーム,1900-01-01 00:00:00+09,t,修正ファイル,システム,f,4038,f,f
13,13,22,インモラルなエロゲー（近親相姦含む）,道徳的にはNGだけど、虚構(ゲーム)だからOK、なもの。 マネしないように。 近親相姦もここに登録願います,hare,2003-12-06 23:55:50.764145+09,2002-04-10 21:34:56+09,インモラルナエロゲー,1900-01-01 00:00:00+09,t,インモラル(近親相姦等),傾向,f,2424,t,f
14,14,23,魂の作品,「過去プレイしたゲームの中でもこれだけは私的に別格」と思うゲームを挙げてください。 このPOVはゲームが自分に与えた影響で作品をランク付けするのが狙いです。完成度は低くてあまり高い点は挙げられないけど、一般に評価の高い作品より遥かに大きな存在だと思える作品もピックアップしてもらえればと思います。得点の高い作品と人に大きな影響を与えられる作品はまた別だろうという考えから作成しました。ランクは受けた影響の大きさと、他の作品でなくこの作品でなければならなかったという独自性を評価してほしいです。Ａランクは多少数を絞ってください。,d_bellypha,2003-12-24 12:19:08.44593+09,2002-04-15 23:12:39+09,タマシイノサクヒン,1900-01-01 00:00:00+09,t,魂,名作,f,8391,f,f
15,15,24,期待はずれだった作品（ゲーム）,パッケージを見て、雑誌の評価を見て、OHPを見て、ちまたの評価を聞いて期待してたのに買ってみたら「んだよ、これ～」と思ったゲーム。 また『売り』が実際にはゲームの中で発揮されていなかったゲーム。 落胆の大小でＡ～Ｃを入力してください。,ap2,2003-12-25 20:42:54.369126+09,2002-04-21 22:18:40+09,キタイハズレダッタサクヒン,1900-01-01 00:00:00+09,t,期待はずれ,ネガティブ,f,5116,f,f
16,16,27,ミステリーの世界,犯人当てやトリック破りを主眼とする狭義の意味での謎解きものだけでなく、広義の意味でのミステリー全般を集めようというのがこのＰＯＶの主旨です。 但し、結末その他でその謎が解決していることが登録の条件です。解決していないものに関してはホラーやファンタジー系ＰＯＶを活用していただけると有り難いです。,2TOM,2003-12-24 01:23:47.544638+09,2002-05-05 14:59:24+09,ミステリーノセカイ,1900-01-01 00:00:00+09,t,謎解き,ジャンル,f,1929,t,f
17,17,28,エロゲー初心者にお勧めな作品,初心者さんの為に、ささやかながら数多くのプレイ歴のある先達としての推薦作を挙げて貰いたいと思います。 ポイントは、ただ名作や評価の高い作品を羅列するのでなく、あくまでも初心者の視点で作品を選ぶように心がけてほしいと思います。 推薦理由は、○○の王道、オリジン的作品、時代を語る上で避けては通れない、初心者時代にプレイして良かった（プレイしたかった）作品など、細かくは問いません。,ap2,2003-12-25 21:57:52.842039+09,2002-05-12 22:43:50+09,エロゲーショシンシャニオススメナサクヒン,1900-01-01 00:00:00+09,t,初心者向け,傾向,f,6618,f,f
18,18,29,声がいいゲーム,声優のキャスティングや演技力がいいエロゲー,mame9,2003-12-25 23:49:57.543507+09,2002-05-13 00:28:09+09,コエガイイゲーム,1900-01-01 00:00:00+09,t,声がいい,音,f,8479,t,f
19,19,30,成長物語,ストーリーを通じて主人公、ヒロインなど登場人物がひと皮剥けて成長していく様が印象に残る作品、 あるいは大人へと成長していく過程の中で苦悩や葛藤の描写が印象に残る作品を登録してください。 ＡＢＣ基準は成長していくことへの快い印象度を交えて投票をお願いします。,hare,2003-12-24 12:19:08.391655+09,2002-05-13 13:00:15+09,セイチョウモノガタリ,1900-01-01 00:00:00+09,t,成長,ジャンル,f,5279,f,f
20,20,33,萌えゲー,絵柄が萌えるヒロインが盛りだくさんな作品だから「萌えゲー」というのか、萌え転がるヒロインのシナリオやヒロイン属性がツボにはまりまくりな作品だから「萌えゲー」なのか、とかく「萌えゲー」といわれる割にはその基準は結構プレイする人それぞれで様々だったりします。 ということで、ここでは変にこだわった基準にこだわらず、「それぞまさしく萌えゲー」＆萌えゲーとしてお勧めな作品をあげてみてください。,REAK,2003-12-25 21:06:17.697618+09,2002-06-05 22:44:42+09,モエゲー,1900-01-01 00:00:00+09,t,萌え,傾向,f,4677,f,f
21,21,34,キャラを取り巻く世界観が良いゲーム（旧：雰囲気の良いゲーム）,ストーリーの先が気になると言うよりも、その世界に浸っていたいと思えるようなゲームを登録してください。 コメントには、登場人物を取り巻く世界観、背景、設定の良さを記述してください。,azumi,2003-12-26 04:00:23.882186+09,2002-06-08 01:13:20+09,キャラヲトリマクセカイカンガ,1900-01-01 00:00:00+09,t,キャラを取り巻く世界観,ここがいい,f,12208,f,f
22,22,35,『薬品』がテーマ・伏線となっている作品,薬を使った人体実験、薬物中毒、人格の破壊、催淫、狂気などをメインに扱ったゲーム。,yzf,2003-12-06 09:03:17.078708+09,2002-06-09 13:15:38+09,ヤクヒンガテーマ,1900-01-01 00:00:00+09,t,薬物,傾向,f,1162,t,f
23,23,36,ヒロインが朝起こしに来る,ゲームの朝の舞台では欠かせない、寝ぼすけorグータラな主人公をヒロインが優しく起こしてくれる場面にインパクトがある作品を教えてください。 作品によって優しくに？がつく場合があるかもしれませんが、それもまた愛情表現ということでアリにします,hare,2003-12-25 21:57:53.320625+09,2002-06-11 21:41:21+09,ヒロインガアサオコシニクル,1900-01-01 00:00:00+09,t,朝起こしに来る,シチュエーション,f,3671,f,f
24,24,38,名作になりそこねた作品集,ここさえ良ければ名作！ 個人的には良作またはそれに近い評価をしているのだけど、この部分さえこうなっていればもっと評価が高くなったのに・・・というような名作一歩手前の惜しい作品を挙げて下さい。 出来ればコメントでその欠点部分とか個人的な希望とかを教えていただけると有り難いです。,塩羊羹,2003-12-20 13:12:47.770967+09,2002-06-16 23:06:47+09,メイサクニナリソコネタサクヒンシュウ,2007-07-29 10:35:12.765732+09,t,なりそこね,名作,f,4237,f,f
25,25,39,バグゲー,バグが最悪。そのままでは、まったくゲームにならず、修正ファイルを当てても完全じゃない。 あきらかにメーカーの怠慢が見て取れるゲーム。,KURU,2003-12-26 01:54:51.435054+09,2002-06-20 12:36:25+09,バグゲー,1900-01-01 00:00:00+09,t,バグ,ネガティブ,f,1066,f,f
26,26,40,歌がいいゲーム,オープニングテーマ、エンディングテーマ、挿入歌が素晴らしいゲーム,KURU,2003-12-26 14:23:17.055366+09,2002-06-20 20:10:54+09,ウタガイイゲーム,1900-01-01 00:00:00+09,t,歌がいい,音,f,10187,t,f
27,27,42,死生観,生と死の狭間で織り成すストーリーによって人生を考えさせるゲーム。メメント･モリ。,hare,2003-12-20 14:04:10.262296+09,2002-06-30 09:41:28+09,シセイカン,1900-01-01 00:00:00+09,t,死生観,ジャンル,f,4312,t,f
28,28,43,演出の光るゲーム,画面効果、音声効果を駆使し、センス溢れる演出をしているゲーム,KURU,2003-12-25 21:57:52.991095+09,2002-07-02 19:08:44+09,エンシュツノヒカルゲーム,1900-01-01 00:00:00+09,t,演出,ここがいい,f,10249,f,f
29,29,44,恐怖・ホラー・伝奇物,夏です。夏といえば怪談です。スリラーやオカルトなゲームを集めてみましょう。 (このPOVは夏に作られたものです。）,hare,2003-12-23 17:46:33.467515+09,2002-07-03 18:03:14+09,キョウフホラーデンキモノ,1900-01-01 00:00:00+09,t,ホラー・伝奇,ジャンル,f,3327,t,f
30,30,45,脇役が光るゲーム,主人公の友人や家族、非攻略可のサブキャラ等 脇役でありながら時には主役やヒロイン以上の 活躍を見せてくれる登場人物のいるゲームを,azumi,2003-12-25 22:59:30.590229+09,2002-07-15 19:39:35+09,ワキヤクガヒカルゲーム,1900-01-01 00:00:00+09,t,脇役がいい,キャラクター,f,9415,f,f
31,31,46,タイトルの良いゲーム,単にセンスがいいと思うタイトルのゲームや、 クリアした後に『このゲームにはこのタイトルしかない』 と思えるようなゲームを,azumi,2003-12-25 01:55:43.855251+09,2002-07-25 21:59:40.985419+09,タイトルノヨイゲーム,1900-01-01 00:00:00+09,t,タイトル,ここがいい,f,7571,f,f
32,32,47,ムービーが良い！(エロ動画除く),ＯＰデモムービー・ＡＤＶパート・バトルシーンなど、非Ｈシーンのムービーがよくできているゲームを登録してください。 ランク分けは「絵や動きの綺麗さ」「演出の良さ」「音楽との調和」等の総合でお願いします。 【注意】Ｈシーンを評価する場合は「エロ動画が良い！」に登録してください。 アニメの綺麗さのみが印象的なら「アニメが良い！(エロ動画除く)」だけに登録してください。,kkk,2003-12-25 22:59:30.456585+09,2002-07-26 22:19:16.543634+09,ムービーガヨイ,1900-01-01 00:00:00+09,t,ムービーがいい(非Ｈ),グラフィック,f,5728,t,f
33,33,48,伏線がしっかり回収されているゲーム,張られた伏線が最後にばっちり解決。 なるほど、そういうことだったのかと思わず納得してしまう、そんなゲーム。,Kyesee,2003-12-13 01:42:37.885963+09,2002-07-28 01:08:53.634729+09,フクセンガシッカリカイシュウサレテイルゲーム,1900-01-01 00:00:00+09,t,つじつまがあっている,シナリオ,f,6352,f,f
