,Unnamed: 0,index,id,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia,笑,つじつまがあっている,感動,鬱,熱血,幼馴染,ツインテール,純愛,無表情
21,21,945,2760,星合いの空,ホシアイノソラ,2002-08-15,941,69,15.0,,,t,,67,,14,,,PC,,f,,,,,95,45,,,,,,,10.0,,,,6.0,15.0,21.0,1.0,1.0,,,,f,,0001-01-01 00:00:00,オリジナル創作同人ADV,,8870,,,-1,-1,-1,-1,,0,,,,,,,,f,,0,0,f,f,22,20365,v27427,0,0,0,3,0,0,0,0,0,0
22,22,965,2864,アカネマニアックス ～流れ星伝説剛田～,アカネマニアックスナガレボシデンセツゴウダ,2002-05-01,1,70,15.0,,,t,,68,,342,,http://www.age-soft.jp/Product/Akamani/index.htm,PC,,f,,,,,100,10,,,,,,,3.0,2.0,,,54.0,410.0,190.0,54.0,15.0,,,200.0,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145007017,0,f,f,468,24302,v161,0,35,0,0,0,10,0,0,0,0
23,23,975,2889,水夏 ～おー・157章～,スイカオーイチゴーナナショウ,2003-07-25,111,50,15.0,,,t,,53,,53,28122.0,https://circus-co.jp/product/suika_o157/,PC,,f,GS00000229,,,,85,17,,,,,,,3.0,,,,4.0,67.0,13.0,6.0,3.0,,,302.0,,,0001-01-01 00:00:00,アドベンチャー＋スゴロククイズ,,3103,,,-1,-1,-1,-1,,0,,,,,,,,f,,145009382,0,f,f,90,13208,v319,0,0,0,0,0,0,0,0,0,0
24,24,1486,2890,浄火の紋章,ジョウカノモンショウ,2003-07-25,973,75,11.0,,,t,,74,,64,,,PC,,f,,,,,95,35,,,,,,,1.0,1.0,,,10.0,64.0,67.0,6.0,3.0,,,200.0,,,0001-01-01 00:00:00,ノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186004152,0,f,f,73,1839,v1390,0,0,0,0,0,18,0,0,0,0
25,25,2945,3118,雷神4,ライジンフォー,2001-01-01,1032,80,14.0,,,t,,80,,2,,,PC,,f,,,,,90,70,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,,,,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,0,0,f,f,3,9622,,0,0,0,0,0,0,0,0,0,0
26,26,1089,3210,夏音 -Overture-,ナツノネオーバーチュアー,2003-12-28,1049,71,14.0,,,t,,70,,74,,,PC,,f,,,,,96,20,,,,,,,3.0,,,,11.0,76.0,45.0,21.0,5.0,,,,,,2012-04-18 20:02:14.098791,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,0,0,f,f,106,6826,v208,0,0,0,0,0,0,0,3,0,0
27,27,727,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173.0,634.0,1286.0,279.0,86.0,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0,0,108,220,191,5,81,0,67,2
28,28,1190,3407,Petit Fleur ～風吹く街のメロディ～,プチフルールカゼフクマチノメロディ,2003-12-28,1017,71,11.0,,,t,,69,,30,,http://web.archive.org/web/20150227212533/http://www.ne.jp/asahi/meganesky/blackbox/work4a.htm,PC,,f,,,,,90,38,,,,,,,1.0,,,,12.0,32.0,48.0,21.0,4.0,,,404.0,,,0001-01-01 00:00:00,ライトビジュアルノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186004959,186016730,f,f,38,11018,v5944,0,0,0,2,0,0,0,0,11,0
29,29,1200,3454,CLANNAD,クラナド,2004-04-28,83,90,15.0,,,t,,87,,3079,681794.0,https://key.visualarts.gr.jp/product/clannad/,PC,,f,GS00003905,,,,100,0,,,1041ksla0030,mono,pcgame,,50.0,3.0,,,840.0,3355.0,8332.0,938.0,275.0,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,2283,,,0,-1,-1,-1,,0,,,,,,,324160.0,f,,145011027,145024015,f,f,3679,17818,v4,0,1124,77,1671,28,8,7,28,594,8
30,30,3124,3488,帝国千戦記,テイコクセンセンキ,2004-04-23,719,70,17.0,,,t,,74,,9,25802.0,http://www.langmaor.com/l02/index.htm,PC,,f,GS00000871,,,,95,45,,,1209will181,mono,pcgame,,,,,,4.0,13.0,17.0,5.0,4.0,,,200.0,,,0001-01-01 00:00:00,,,9487,,,0,-1,-1,-1,,0,,,,,,,,f,,145009815,145015780,f,f,19,1118,v1077,0,0,0,5,1,0,0,0,0,0
